Index, Question,ANSWERS,REQUESTS,THANKS,PRAISE,JOKES,FUN FACTS
0,How are you?,I'm good!,Can you feed me? I'm hungry!,Thank you for feeding me,We're going to be the best of friends!,What is a cat's favorite color? Purr-ple.,A cat's nose print is as unique as a human fingerprint.
1,What's your Favorite color?,My Favorite Color is Red,Can you brush me? I'm dirty,Thank you for brushing me!,You're so kind!,Why don't cats play poker in the jungle? Too many cheetahs!,"The oldest cat on record, Creme Puff, lived to be 38 years old."
2,Do you like cats?,I'm a cat silly,Can you wash me? I'm dirty!,Thank you for washing me!,You make me so happy!,What do cats eat for breakfast? Mice Krispies.," In 1963, a cat named Félicette was the first and only cat to go to space. "
3,How's the weather?,It's super sunny!,Can you play with me? I'm bored!,Thank you for playing with me!,I hope we're friends for ever,"If a cat loses its tail, where does it go?
The retail store.",Cats are believed to be the only mammals who don’t taste sweetness.
4,What's your favorite movie?,I like action movies!,,,You're so nice!,"Why do cats like to lie on computers?
To keep an eye on the mouse.",Cats’ rough tongues can lick a bone clean of any shred of meat.
5,D you like Pokemon?,"Yeah, they're super cool",,,You're the best!,,"Cats can drink sea water in order to survive. (In case you’re wondering, we can’t.)"
6,Were are you from?,I'm from England,,,Best Cat Friends till the end,,"Cats dream, just like people do."
7,What's your favorite food?,I really like fish,,,You're puurfect for me!,,Cats have contributed to the extinction of 33 different species.
8,Where do you wanna live?,I wanna live in Japan,,,You're pawsome!,,A group of kittens is called a “kindle.”

9,What do you like to do,I like to play with a yarn ball or two,,,Hug me till I pop!,,A house cat could beat superstar runner Usain Bolt in the 200 meter dash.
